model,pathway,scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
image,SSP2-Base,RUN 32,BE,Production|Electricity|Renewable|Biogas,GWh/year,0,0,0,0,0,0,0
image,SSP2-Base,RUN 32,BE,Production|Electricity|Renewable|Biomass,GWh/year,1148,3379,3150,3118,3205,4347,4307
image,SSP2-Base,RUN 32,BE,Production|Electricity|Renewable|Bagasse,GWh/year,1917,0,0,0,0,0,0
image,SSP2-Base,RUN 32,BE,Production|Electricity|Renewable|Biowaste,GWh/year,15,1036,1492,2175,2835,3503,4187
image,SSP2-Base,RUN 32,BE,Production|Electricity|Conventional|Blast-furnace,GWh/year,2265,2178,2202,2193,844,137,0
image,SSP2-Base,RUN 32,BE,Production|Electricity|Conventional|Coal CHP,GWh/year,56,56,26,1,1,0,0
image,SSP2-Base,RUN 32,BE,Production|Electricity|Conventional|Oil CHP,GWh/year,51,51,51,51,48,51,53
image,SSP2-Base,RUN 32,BE,Production|Electricity|Conventional|Municipal waste incineration,GWh/year,0,252,10,5,3,1,0
image,SSP2-Base,RUN 32,BE,Production|Electricity|Conventional|Natural gas CHP|400MW electrical,GWh/year,926,1616,2107,1381,621,555,185
image,SSP2-Base,RUN 32,BE,Production|Electricity|Conventional|Natural gas CHP|100MW electrical,GWh/year,2160,3771,4916,2848,1411,1277,431
image,SSP2-Base,RUN 32,BE,Production|Electricity|Conventional|Natural gas PPT,GWh/year,20726,4282,14426,13092,10790,5745,0
image,SSP2-Base,RUN 32,BE,Production|Electricity|Conventional|Oil CHP,GWh/year,564,1233,474,70,0,0,0
image,SSP2-Base,RUN 32,BE,Production|Electricity|Conventional|Oil PPT,GWh/year,801,0,81,22,28,0,0
image,SSP2-Base,RUN 32,BE,Production|Electricity|Conventional|Coal gas,GWh/year,73,978,942,608,348,309,0
image,SSP2-Base,RUN 32,BE,Production|Gaseous fuel|Hydrogen|Domestic|Electrolysis,GWh/year,0,0,0,0,328,468,13880
image,SSP2-Base,RUN 32,BE,Efficiency|Gaseous fuel|Hydrogen|Domestic|Electrolysis,%,61,63,66,68,70,73,75
image,SSP2-Base,RUN 32,BE,Production|Electricity|Nuclear|Boiling water reactor,GWh/year,41459,14151,12687,13522,0,0,0
image,SSP2-Base,RUN 32,BE,Production|Electricity|Import,GWh/year,3763,16806,7469,6681,21678,23175,31680
image,SSP2-Base,RUN 32,BE,Production|Electricity|Run-of-river hydro,GWh/year,72,91,91,91,91,91,91
image,SSP2-Base,RUN 32,BE,Production|Electricity|Reservoir,GWh/year,230,287,287,28711,287,287,287
image,SSP2-Base,RUN 32,BE,Production|Electricity|Renewable|Photovoltaic|570kWp open ground,GWh/year,1479,5683,6194,10279,13458,15448,22921
image,SSP2-Base,RUN 32,BE,Production|Electricity|Renewable|Photovoltaic|3kWp single-Si,GWh/year,2958,11366,12389,20558,26916,30895,45843
